Node_ID,Date,Energy_Usage_kWh,Peak_Usage_Time,Energy_Source,Carbon_Emissions_kg_CO2
Node_223,2024-01-01,1341.4123530358818,Afternoon,Grid,347.7739112939197
Node_170,2024-01-02,2929.277216668401,Morning,Solar,833.1063179938255
Node_246,2024-01-03,2748.516650803184,Afternoon,Solar,674.690836000654
Node_7,2024-01-04,1787.5407844645056,Evening,Grid,970.1267355422012
Node_250,2024-01-05,268.12599092695683,Afternoon,Grid,903.8258420206495
Node_244,2024-01-06,134.25778396910985,Afternoon,Grid,711.4638009400628
Node_293,2024-01-07,154.4164100433742,Morning,Solar,1108.0329532015198
Node_5,2024-01-08,1004.8026611617784,Evening,Solar,813.765436979577
Node_88,2024-01-09,431.6447105924627,Morning,Grid,554.7960017618457
Node_6,2024-01-10,787.3275368787957,Night,Grid,424.6178194311566
Node_169,2024-01-11,772.9329116791162,Evening,Solar,245.6036752517582
Node_10,2024-01-12,2161.213802261996,Evening,Solar,693.1519317115853
Node_255,2024-01-13,1001.5628508645061,Night,Solar,171.9031090281746
Node_73,2024-01-14,2246.935893351568,Night,Solar,627.693394213754
Node_21,2024-01-15,1610.1683866666765,Night,Solar,1035.4284387166424
Node_33,2024-01-16,555.6016592651249,Evening,Grid,913.1565473335963
Node_298,2024-01-17,1336.5770245365752,Night,Grid,1061.4980547893504
Node_63,2024-01-18,1700.926643187995,Night,Grid,119.13846571815165
Node_73,2024-01-19,725.7998887116405,Night,Solar,306.62866058512594
Node_158,2024-01-20,2245.9528722196496,Afternoon,Solar,562.6479670052015
Node_296,2024-01-21,2190.2847967410225,Afternoon,Grid,859.4412711237875
Node_120,2024-01-22,921.3870697927554,Evening,Grid,493.02163772680376
Node_40,2024-01-23,953.9424683575005,Evening,Grid,744.3285857123705
Node_154,2024-01-24,2313.6208634762083,Morning,Solar,90.4192645814617
Node_88,2024-01-25,364.76874957874367,Afternoon,Grid,652.8114287520954
Node_208,2024-01-26,2832.187943555994,Morning,Grid,1055.3287037097089
Node_34,2024-01-27,2643.4929294163608,Afternoon,Generator,1164.4465945708007
Node_7,2024-01-28,400.3955882371905,Afternoon,Grid,1013.0985412153357
Node_173,2024-01-29,105.7478928340194,Night,Solar,1192.0766637316826
Node_278,2024-01-30,2537.4847395636434,Evening,Grid,239.67877447213527
Node_248,2024-01-31,1902.7538526314745,Morning,Solar,10.150333034394292
Node_244,2024-02-01,1966.5240041114337,Afternoon,Grid,817.7470927553517
Node_226,2024-02-02,2042.8974516434723,Night,Grid,624.3818689568981
Node_178,2024-02-03,2991.322376288737,Night,Solar,308.5169240847798
Node_212,2024-02-04,993.8929789649472,Morning,Grid,338.3637286136406
Node_154,2024-02-05,254.4009404687681,Evening,Grid,843.6635735341341
Node_108,2024-02-06,2731.512147011109,Morning,Solar,1096.3809298455017
Node_172,2024-02-07,2200.2779508661392,Night,Grid,896.1934825433274
Node_215,2024-02-08,2974.9927823133476,Morning,Solar,91.89453496290156
Node_204,2024-02-09,1043.340386996657,Night,Grid,594.0394103582713
Node_199,2024-02-10,1323.4258323921397,Night,Solar,41.10678846809729
Node_240,2024-02-11,2294.9187627477545,Evening,Grid,752.1151702075628
Node_187,2024-02-12,255.56520413648218,Afternoon,Grid,1034.628083237381
Node_297,2024-02-13,1268.645255063358,Evening,Grid,824.5080647590619
Node_180,2024-02-14,2213.9598420319944,Afternoon,Grid,17.440748024098276
Node_276,2024-02-15,2295.1341265297287,Morning,Grid,229.7581399915169
Node_272,2024-02-16,2980.7968491729557,Afternoon,Grid,757.4430462286164
Node_229,2024-02-17,278.3753197039181,Night,Grid,628.720780485342
Node_87,2024-02-18,2084.8700836357702,Afternoon,Generator,799.7501464091927
Node_192,2024-02-19,610.996546598542,Evening,Grid,956.9858247993649
Node_170,2024-02-20,1286.2372109438356,Morning,Solar,226.81478432843429
