Date,Time,Node_ID,Data_Usage_GB,Peak_Usage_GB,Downtime_Events,Type,Region,Latitude,Longitude,Population_Served,Connectivity_Status,Existing_Infrastructure
2024-01-01,00:00:00,Node_19,139.135367448015,47.373215208127,2,Health Center,Indian Ocean,-33.30179268551746,81.81633110628297,4777,Connected,Yes
2024-01-01,01:00:00,Node_118,119.423116079813,26.8778291860814,6,Health Center,Pacific Ocean,-6.9113476328194565,-105.35834756557853,16516,Connected,No
2024-01-01,02:00:00,Node_111,51.5454126766911,88.4351791405472,7,School,Atlantic Ocean,3.171346639475118,-29.73404621371361,17651,Connected,No
2024-01-01,03:00:00,Node_290,148.52747328827,18.2212924789607,1,School,Brazil,-19.71639711987073,-34.373585289548714,17410,Unconnected,Yes
2024-01-01,04:00:00,Node_61,109.199958586569,81.01195546211,13,School,Antarctica,-78.08400202371811,-49.18326941276945,249,Unconnected,Yes
2024-01-01,05:00:00,Node_55,146.869867713265,192.668813673803,4,Health Center,France,45.159485982213454,3.810192142254635,16295,Unconnected,No
2024-01-01,06:00:00,Node_291,58.3274853002236,10.792615813412,8,Health Center,Indonesia,1.3338405587469708,122.6452083009882,2273,Connected,No
2024-01-01,07:00:00,Node_92,4.42457782210977,8.69235944408493,5,School,Sudan,17.77883847232839,37.63365910922786,15148,Connected,Yes
2024-01-01,08:00:00,Node_35,149.299743280036,236.481256697711,8,Government Office,Ireland,53.95210819645638,-14.648232941130914,1525,Connected,Yes
2024-01-01,09:00:00,Node_156,35.1068528221995,95.7851187816653,7,School,China,42.57328774046815,97.7856187205934,16798,Unconnected,Yes
2024-01-01,10:00:00,Node_71,71.4714609248462,126.656491746273,0,School,Antarctica,-87.05898844457309,-69.43564472409908,2065,Connected,Yes
2024-01-01,11:00:00,Node_1,49.8103359495084,7.01742447662444,7,Government Office,Russia,82.79997310686326,80.37418226297893,9218,Unconnected,No
2024-01-01,12:00:00,Node_217,81.1767934322691,203.712520782208,9,Government Office,South Africa,-55.17351407891855,19.76943979872712,12311,Connected,Yes
2024-01-01,13:00:00,Node_171,99.2134329743642,179.150201538521,11,School,Russia,72.88045153859716,76.44849951245669,3005,Connected,Yes
2024-01-01,14:00:00,Node_250,32.5255321577512,64.8695788730968,9,School,Chile,-68.24861062851662,-19.88483700954725,9088,Connected,No
2024-01-01,15:00:00,Node_155,56.9688970231911,126.64133208274,5,Health Center,South Atlantic Ocean,-61.67532733433049,34.13844427713951,16239,Unconnected,Yes
2024-01-01,16:00:00,Node_96,4.54906761035985,263.175348394042,9,School,Indian Ocean,-64.75689779702782,94.09705995595084,11503,Unconnected,Yes
2024-01-01,17:00:00,Node_61,4.6591310315623,9.28110733000706,4,School,Antarctica,-78.08400202371811,-49.18326941276945,249,Unconnected,Yes
